Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type,Lat,Long,project_water
CA3601134,RELAX INN,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601135,ARROWHEAD REGIONAL MEDICAL CENTER,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GWP,,,Neither 
CA3601139,CAMP HEART BAR EQUESTRIAN GROUP,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601140,SOUTH FORK CAMPGROUND,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601141,CAMP MORNING STAR,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601143,DESERT VIEW RV RESORT,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601144,HINKLEY SENIOR REC CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601145,VICTOR VALLEY  WASTEWATER RECLAM,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601147,RILEY'S FARM,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601148,RILEY'S LOG CABIN FARM,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601150,BIG BEAR ADMINISTRATION,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601151,NEWBERRY COMMUNITY SERVICES,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601152,MOJAVE RIVER FORKS REGIONAL PARK,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601155,SPECIALTY MINERALS INC,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601157,APPLEWHITE CAMPGROUND,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601158,HELENDALE CSD COMMUNITY CENTER,NC,NR,T1,SAN BERNARDINO  ,GW,,,Neither 
CA3601159,CALIFORNIA STEEL INDUSTRIES,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,SWP,n/a,,Neither 
CA3601161,EL COYOTE LOCO,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601162,VFW POST 5551,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601163,CSA 29 MIDWAY PARK,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601165,OAK GLEN STEAK HOUSE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601166,SHADY COVE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601168,NORTHSHORE RV RESORT INC,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601169,CAJON PASS SHELL,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601170,THE RED HEN,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601171,ABRAHAM MAIDA WATER SYSTEM,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601172,FENDERS,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601173,BOLO STATION RV PARK & SNACK BAR,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601175,RASOR ROAD SERVICE,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601176,JOHNSON VALLEY COMMUNITY CENTER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601179,EL MIRAGE SCHOOL,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601181,IVANPAH SOLAR THERMAL POWER PLANT,NTNC,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601182,HIGH DESERT DETENTION CENTER,C,D1,T3,SAN BERNARDINO  ,GW,,,Neither 
CA3601183,CALI BURGER,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601184,MOJAVE SOLAR PROJECT ALPHA POWER PLANT,NTNC,D1,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3601185,MOJAVE SOLAR PROJECT BETA POWER PLANT,NTNC,D1,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3601186,RANCHERITOS #2,C,D1,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601187,ROUTE 66 MARKET,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601188,NEWBERRY SPRINGS GAS STATION & MINI-MART,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601189,8986 DEEP CREEK ROAD,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601190,DOLLAR GENERAL STORE # 14280,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3601191,GABLES WATER COMPANY,NC,NR,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3610001,"ADELANTO, CITY OF",C,D3,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3610002,ALPINE WATER USERS ASSOCIATION,C,D2,T2,SAN BERNARDINO  ,SWP,34.24218937,-117.2287543,Neither 
CA3610003,LIBERTY UTILITIES (AV RANCHOS) CORP.,C,D5,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610004,WEST VALLEY WATER DISTRICT,C,D5,T5,SAN BERNARDINO  ,SW,34.10845153,-117.4041405,Neither 
CA3610005,LAKE ARROWHEAD CSD,C,D4,T3,SAN BERNARDINO  ,SW,34.25961011,-117.1943725,Neither 
CA3610006,WATER FACILITIES AUTHORITY-JPA,C,D4,T5,SAN BERNARDINO  ,SW,34.12623758,-117.6823561,Neither 
CA3610008,BIG BEAR CITY CSD,C,D3,T3,SAN BERNARDINO  ,GW,,,Neither 
CA3610009,BIGHORN - DESERT VIEW WATER AGENCY,C,D2,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610011,CEDARPINES PARK MWC,C,D2,T1,SAN BERNARDINO  ,SWP,34.25508135,-117.3243223,Neither 
CA3610012,"CHINO, CITY OF",C,D5,T4,SAN BERNARDINO  ,SWP,33.98200986,-117.6639368,Neither 
CA3610013,"LOMA LINDA, CITY OF",C,D4,T3,SAN BERNARDINO  ,GW,,,Neither 
CA3610014,"COLTON, CITY OF",C,D5,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3610015,CRESTLINE VILLAGE CWD - DIVISION 10,C,D3,T2,SAN BERNARDINO  ,SWP,34.24187734,-117.2761827,Neither 
CA3610016,GLEN MARTIN MWC,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610018,CUCAMONGA VALLEY WATER DISTRICT,C,D5,T5,SAN BERNARDINO  ,SW,34.12581984,-117.5632613,Neither 
CA3610019,SAN BERNARDINO VALLEY WD,C,D4,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610021,FALLSVALE SERVICE COMPANY,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610022,DWP - FAWNSKIN,C,D1,T2,SAN BERNARDINO  ,GU,,,Neither 
CA3610023,GREEN VALLEY MWC,C,D2,TD,SAN BERNARDINO  ,SWP,34.24086768,-117.0763228,Neither 
CA3610024,HESPERIA WD,C,D5,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610025,JOSHUA BASIN WATER DISTRICT,C,D3,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610026,SBDNO COUNTY SERVICE AREA 70 CEDAR GLEN,C,D2,TD,SAN BERNARDINO  ,SWP,34.25281202,-117.1639043,Neither 
CA3610028,MARYGOLD MWC,C,D2,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3610029,MONTE VISTA WD,C,D5,T4,SAN BERNARDINO  ,SWP,34.05608911,-117.7041513,Neither 
CA3610030,MARIANA RANCHOS CWD,C,D2,There are no treatment plants,SAN BERNARDINO  ,GW,,,Neither 
CA3610031,MUSCOY MWC NO. 1,C,D2,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610032,"NEEDLES, CITY OF",C,D2,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3610033,MT BALDY HOMEOWNERS ASSN.,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610034,ONTARIO MUNICIPAL UTILITIES COMPANY,C,D5,T3,SAN BERNARDINO  ,SWP,34.03836616,-117.6076795,Neither 
CA3610036,"CHINO HILLS, CITY OF",C,D5,T2,SAN BERNARDINO  ,SWP,33.95021906,-117.7250874,Neither 
CA3610037,REDLANDS CITY MUD-WATER DIV,C,D5,T5,SAN BERNARDINO  ,SW,34.0551233,-117.1685151,Neither 
CA3610038,"RIALTO, CITY OF",C,D4,T3,SAN BERNARDINO  ,SWP,n/a,n/a,Neither 
CA3610039,SAN BERNARDINO CITY,C,D5,T5,SAN BERNARDINO  ,GW,,,Neither 
CA3610041,SAN GABRIEL VALLEY WC - FONTANA,C,D5,T5,SAN BERNARDINO  ,SW,34.09188915,-117.4649661,Neither 
CA3610043,GOLDEN STATE WATER CO - BARSTOW,C,D4,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3610044,BIG BEAR LAKE DWP - BIG BEAR SYSTEM,C,D3,T1,SAN BERNARDINO  ,GW,,,Neither 
CA3610045,LACSD - RIMFOREST,C,D1,There are no treatment plants,SAN BERNARDINO  ,SWP,34.23004563,-117.2243377,Neither 
CA3610046,VALLEY VIEW PARK MWC,C,D1,TD,SAN BERNARDINO  ,SWP,34.23340726,-117.3045569,Neither 
CA3610047,GOLDEN STATE WATER CO - WRIGHTWOOD,C,D3,T1,SAN BERNARDINO  ,GW,,,Neither 
CA3610048,TERRACE WATER COMPANY,C,D2,There are no treatment plants,SAN BERNARDINO  ,GWP,,,Neither 
CA3610049,TWENTYNINE PALMS WATER DISTRICT,C,D4,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3610050,"UPLAND, CITY OF",C,D5,T3,SAN BERNARDINO  ,SW,34.11811914,-117.6605138,Neither 
CA3610051,VALLEY OF ENCHANTMENT MWC,C,D2,T1,SAN BERNARDINO  ,SWP,34.2474679,-117.3055595,Neither 
CA3610052,VICTORVILLE WATER DISTRICT,C,D5,T3,SAN BERNARDINO  ,SWP,n/a,n/a,Neither 
CA3610053,WESTERN HEIGHTS WATER COMPANY,C,D2,T2,SAN BERNARDINO  ,SWP,34.0260693,-117.1092686,Neither 
CA3610055,YUCAIPA VALLEY WATER DISTRICT,C,D4,T4,SAN BERNARDINO  ,SW,34.02236133,-117.0395454,Neither 
CA3610057,RIVERSIDE HIGHLAND WATER COMPANY,C,D4,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610060,BDVWA - GOAT MOUNTAIN ID,C,D2,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610062,RUNNING SPRINGS WATER DISTRICT,C,D2,T2,SAN BERNARDINO  ,SWP,34.20681311,-117.1153854,Neither 
CA3610063,GOLDEN STATE WATER CO - MORONGO DEL SUR,C,D2,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3610064,EAST VALLEY WATER DISTRICT,C,D5,T4,SAN BERNARDINO  ,SW,34.12565083,-117.1911495,Neither 
CA3610073,HI DESERT WD,C,D4,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3610075,CHINO BASIN DESALTER AUTH. - DESALTER 1,C,D4,T5,SAN BERNARDINO  ,GW,,,Neither 
CA3610082,SAN ANTONIO CANYON MSC,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610085,SAN ANTONIO WATER COMPANY,C,D3,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610086,WEST END CONSOLIDATED WATER COMPANY,C,D4,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610093,ARROWHEAD VILLAS MUTUAL SERVICE COMPANY,C,D1,T2,SAN BERNARDINO  ,SWP,34.24047552,-117.1833513,Neither 
CA3610105,GOLDEN STATE WATER CO - APPLE VLY NORTH,C,D2,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610107,GOLDEN STATE WATER CO - APPLE VLY SOUTH,C,D2,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610108,GOLDEN STATE WATER CO - LUCERNE,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610109,SHEEP CREEK WATER COMPANY,C,D3,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610110,ARROWBEAR PARK CWD,C,D2,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3610112,HELENDALE COMMUNITY SERVICE DISTRICT,C,D3,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610114,CLAWA,C,D3,T3,SAN BERNARDINO  ,SW,34.24657785,-117.2108944,Neither 
CA3610117,DEVORE WC,C,D3,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610118,LIBERTY -YERMO,C,D2,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610120,PHELAN PINON HILLS CSD,C,D4,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610121,SBDNO COUNTY SERVICE AREA 64,C,D3,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610125,SBDNO COUNTY SERVICE AREA 70J,C,D4,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610129,MOJAVE WATER AGENCY,C,D4,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610130,CALTRANS - MOUNTAIN PASS JPOE CVEF,NTNC,D1,T1,SAN BERNARDINO  ,GW,,,Neither 
CA3610131,CDFA-MOUNTAIN PASS JPOE AIS,NC,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610300,PROVIDENCE MTNS SRA,NC,NR,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610301,NPS - KELSO DEPOT,NC,NR,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610701,USMC NEBO (BARSTOW),C,D2,TD,SAN BERNARDINO  ,GWP,,,Neither 
CA3610702,USMC YERMO ANNEX,NTNC,D2,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3610703,USMC - 29 PALMS,C,D4,T3,SAN BERNARDINO  ,GW,,,Neither 
CA3610705,US ARMY FORT IRWIN,C,D4,T3,SAN BERNARDINO  ,GW,,,Neither 
CA3610708,BARSTOW ARMY HELIPORT,NTNC,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610800,CDF - OAK GLEN CONSERVATION CAMP,C,D1,TD,SAN BERNARDINO  ,GW,,,Neither 
CA3610801,CDF - PILOT ROCK CONSERVATION CAMP,C,D1,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3610850,CALIFORNIA INSTITUTION FOR MEN,C,D3,T4,SAN BERNARDINO  ,GW,,,Neither 
CA3610851,CALIFORNIA INSTITUTION FOR WOMEN,C,D2,T1,SAN BERNARDINO  ,GWP,,,Neither 
CA3610854,SEARLES VALLEY MINERALS OPERATIONS INC,C,D2,T2,SAN BERNARDINO  ,GW,,,Neither 
CA3690001,INLAND EMPIRE UTILITIES AGENCY,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690002,CITY OF SAN BERNARDINO (RECLAMATION),NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690003,CITY OF BARSTOW,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690004,"CITY OF RIALTO, UTILITIES",NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690005,ADELANTO PUBLIC UTILITY AUTHORITY,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690006,CITY OF CHINO,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690007,BIG BEAR AREA REGIONAL WASTEWATER AGENCY,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690008,CITY OF CHINO HILLS,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690009,US ARMY-FORT IRWIN,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690010,COUNTY SERVICE AREA-70 - RECLAMATION,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690011,CITY OF ONTARIO - RECLAMATION,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690012,HI DESERT WD - RECYCLED WATER,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690013,VICTOR VALLEY WW RECLAMATION AUTHORITY,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690014,USMC TWENTYNINE PALMS,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690015,RUNNING SPRINGS WATER DISTRICT - RECLAMA,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690016,CUCAMONGA VWD-RECLAMATION,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690017,RIVERSIDE HIGHLAND WATER COMPANY,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690018,CITY OF REDLANDS-RECYCLED WATER PROGRAM,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690019,YUCAIPA VALLEY WATER DIST. RECYCLED WATE,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690020,LAKE ARROWHEAD CSD (RECYCLED WATER),NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690021,CITY OF VICTORVILLE (RECYCLED WATER),NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690022,SAN BERNARDINO COUNTY SPECIAL DISTRICT,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690023,MONTE VISTA WD - RECYCLED WATER,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690024,CITY OF UPLAND - RECYCLED WATER,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690025,SAN GABRIEL VALLEY WC - FONTANA RW,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690026,EAST VALLEY WD (RECYCLED WATER),NP,,Missing treatment classification in SDWIS,SAN BERNARDINO  ,,,,Neither 
CA3690027,CRESTLINE CSD,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690028,LOS RANCHOS MOBILE HOME PARK,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
CA3690029,HELENDALE CSD-RECYCLED WATER,NP,,There are no treatment plants,SAN BERNARDINO  ,,,,Neither 
,,,,,,,,,Neither 
CA2800008,GOOSECROSS CELLARS,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800010,OUTPOST WINES,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800012,LMR MAIN STREET PARTNERS LLC,NTNC,D1,TD,NAPA  ,SWP,n/a,n/a,Neither 
CA2800013,BURGESS CELLARS,NC,NR,Operator is not required,NAPA  ,GW,,,Neither 
CA2800014,11:11 WINERY,NC,NR,Operator is not required,NAPA  ,GW,,,Neither 
CA2800015,SOMERSTON WINERY,NTNC,NR,Operator is not required,NAPA  ,GW,,,Neither 
CA2800017,STAGLIN FAMILY VINEYARD,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800018,HUNNICUTT WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800020,UPPER VALLEY DISPOSAL SERVICE,NTNC,D1,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800021,KENZO WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800023,RUTHERFORD HILL MUTUAL WATER,NTNC,D1,TD,NAPA  ,GW,,,Neither 
CA2800024,DUCKHORN VINEYARDS,NTNC,D1,Operator is not required,NAPA  ,GW,,,Neither 
CA2800025,HAGAFEN CELLARS,NC,NR,Operator is not required,NAPA  ,GW,,,Neither 
CA2800026,TRINCHERO WINERY,NC,NR,T1,NAPA  ,GW,,,Neither 
CA2800027,NICKEL & NICKEL WINERY,NTNC,D1,Operator is not required,NAPA  ,GW,,,Neither 
CA2800030,ENVY WINES,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800031,SIGNORELLO WINERY,NC,NR,TD,NAPA  ,GW,,,Neither 
CA2800032,LOKOYA WINERY,NC,NR,Operator is not required,NAPA  ,GW,,,Neither 
CA2800033,GAMBLE FAMILY VINEYARDS WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800034,HONIG WINERY,NTNC,D1,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800035,RIVER RANCH FARM WORKER CENTER,C,D1,TD,NAPA  ,GW,,,Neither 
CA2800036,NAPA VALLEY RESERVE WATER SYSTEM,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800037,KATHRYN HALL WINERY,NC,NR,Operator is not required,NAPA  ,GW,,,Neither 
CA2800039,CALISTOGA FARM WORKER CENTER,C,D1,T2,NAPA  ,GW,,,Neither 
CA2800040,MONDAVI FARM WORKER CENTER,C,D1,TD,NAPA  ,GW,,,Neither 
CA2800041,DARIOUSH WINERY,NTNC,D1,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800042,FROGS LEAP WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800043,CASTELLO DI AMOROSA,NTNC,D1,Operator is not required,NAPA  ,GW,,,Neither 
CA2800044,LARKMEAD VINEYARDS,NC,D1,TD,NAPA  ,GW,,,Neither 
CA2800046,SHADYBROOK ESTATES WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800047,ASHES & DIAMONDS WINERY,NTNC,D1,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800048,PIAZZA WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800049,FANTESCA WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800050,JOSEPH CELLARS WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800051,CHAPPELLET WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800052,ITALICS WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800054,WHEELER FARMS WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800055,BOUCHAINE VINEYARDS,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800057,TITUS WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800058,QUINTESSA WINERY WATER SYSTEM,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800059,SUTTER HOME WINERY,NTNC,D1,T1,NAPA  ,SWP,n/a,n/a,Neither 
CA2800060,BENNETT LANE WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800061,HILLSIDE CHRISTIAN CENTER WATER SYSTEM,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800063,HUDSON VINEYARDS WINERY WATER SYSTEM,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800064,DAKOTA SHY WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800066,THE BARREL CHAI,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800068,ONE HOPE WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800069,REVERIE WINERY,NC,NR,TD,NAPA  ,GW,,,Neither 
CA2800070,BEHRENS FAMILY WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800071,BELL WINE CELLARS,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800073,OVID NAPA VALLEY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800074,ANTINORI CALIFORNIA,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800077,SAINTSBURY WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800079,BALDACCI FAMILY VINEYARDS,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800081,MATERRA WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800089,BIALE WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800100,DEL DOTTO WINERY,NC,NR,Operator is not required,NAPA  ,GW,,,Neither 
CA2800101,EHLERS ESTATE,NC,NR,Operator is not required,NAPA  ,GW,,,Neither 
CA2800103,SILENUS VINTNERS,NC,NR,Operator is not required,NAPA  ,GW,,,Neither 
CA2800105,GROTH VINEYARDS & WINERY,NC,D1,Operator is not required,NAPA  ,GW,,,Neither 
CA2800106,CUVAISON CARNEROS,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800107,BLACK STALLION WINERY,NC,NR,Operator is not required,NAPA  ,GW,,,Neither 
CA2800110,MARKHAM VINEYARDS,NC,D1,Operator is not required,NAPA  ,SWP,n/a,n/a,Neither 
CA2800111,CAIRDEAN WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800112,"PCSH, LLC",NTNC,D1,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800115,CAMP BERRYESSA,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800129,STERLING VINEYARDS,NTNC,D1,T1,NAPA  ,GW,,,Neither 
CA2800186,TURTLE ROCK,NC,NR,TD,NAPA  ,GW,,,Neither 
CA2800297,MAXVILLE LAKE WINERY,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800299,FAR NIENTE WINERY,NTNC,D1,Operator is not required,NAPA  ,GW,,,Neither 
CA2800301,LAIRD FAMILY ESTATE,NTNC,D1,T1,NAPA  ,GW,,,Neither 
CA2800302,REALM ESTATE,NC,NR,TD,NAPA  ,GW,,,Neither 
CA2800516,TUCKER ACRES MUTUAL WATER CO.,C,D1,T1,NAPA  ,GW,,,Neither 
CA2800521,CIRCLE OAKS WATER DISTRICT,C,D1,T2,NAPA  ,SW,n/a,n/a,Neither 
CA2800525,LA TIERRA HEIGHTS MUTUAL,C,D1,T1,NAPA  ,GW,,,Neither 
CA2800526,BERRYESSA ESTATES (LBRID),C,D1,T3,NAPA  ,SW,n/a,n/a,Neither 
CA2800527,LINDA FALLS TERRACE MUTUAL,C,D1,TD,NAPA  ,GW,,,Neither 
CA2800528,LINDA VISTA MUTUAL WATER CO,C,D1,T1,NAPA  ,GW,,,Neither 
CA2800530,MEYERS WATER CO.,C,D1,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800531,NAPA RIVER RANCH,C,D1,T1,NAPA  ,GW,,,Neither 
CA2800532,VAILIMA ESTATES MUTUAL WATER,C,D1,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800536,GRGICH HILLS,NTNC,D1,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800543,CAPELL VALLEY ESTATES,C,D1,T2,NAPA  ,SW,n/a,n/a,Neither 
CA2800554,GENE NORRIS PLAZA,NC,NR,There are no treatment plants,NAPA  ,GW,,,Neither 
CA2800555,TWOMEY CELLARS,NC,NR,Operator is not required,NAPA  ,GW,,,Neither 
CA2800556,OAKVILLE GROCERY CO.,NTNC,NR,TD,NAPA  ,GW,,,Neither 
CA2800561,FREEMARK ABBEY WINERY,NTNC,D1,TD,NAPA  ,GW,,,Neither 
CA2800562,TPWC DBA THE PRISONER WINE COMPANY,NTNC,D1,T1,NAPA  ,GW,,,Neither 
